# -*- coding: utf-8 -*-,,,,,,,,
,,,,,,,,
# A datafile created by Gustav!,,,,,,,,
# ,,,,,,,,
# Experiment: lateralization-matching,,,,,,,,
# ,,,,,,,,
,,,,,,,,
S,Trial,Date,Block,Condition,cue,location,Stim,Resp
latpilot5,44,2024-09-23,44,5,ild,-100,$user[az],-12.0606097598193
latpilot5,45,2024-09-23,45,10,ild,400,$user[az],71.4435254982147
latpilot5,46,2024-09-23,46,6,ild,-50,$user[az],2.78237250892667
latpilot5,47,2024-09-23,47,11,ild,500,$user[az],47.322305978576
latpilot5,48,2024-09-23,48,7,ild,50,$user[az],-6.495864741966
latpilot5,49,2024-09-23,49,2,ild,-500,$user[az],-21.338847010712
latpilot5,50,2024-09-23,50,6,ild,-50,$user[az],8.35261085848568
latpilot5,51,2024-09-23,51,3,ild,-400,$user[az],-21.338847010712
latpilot5,52,2024-09-23,52,11,ild,500,$user[az],71.4435254982147
latpilot5,53,2024-09-23,53,7,ild,50,$user[az],13.917355876339
latpilot5,54,2024-09-23,54,1,ild,-800,$user[az],-82.578508865627
latpilot5,55,2024-09-23,55,9,ild,200,$user[az],17.6308481093783
latpilot5,56,2024-09-23,56,8,ild,100,$user[az],13.917355876339
latpilot5,57,2024-09-23,57,4,ild,-200,$user[az],-10.2038636432997
latpilot5,58,2024-09-23,58,12,ild,800,$user[az],88.148747215186
latpilot5,59,2024-09-23,59,10,ild,400,$user[az],73.3002716147343
latpilot5,60,2024-09-23,60,5,ild,-100,$user[az],-13.917355876339
latpilot5,61,2024-09-23,61,5,ild,-100,$user[az],-13.917355876339
latpilot5,62,2024-09-23,62,7,ild,50,$user[az],10.2038636432997
latpilot5,63,2024-09-23,63,3,ild,-400,$user[az],-36.1873226111637
latpilot5,64,2024-09-23,64,2,ild,-500,$user[az],-82.578508865627
latpilot5,65,2024-09-23,65,11,ild,500,$user[az],49.1790520950957
latpilot5,66,2024-09-23,66,8,ild,100,$user[az],13.917355876339
latpilot5,67,2024-09-23,67,1,ild,-800,$user[az],-86.2920010986664
latpilot5,68,2024-09-23,68,12,ild,800,$user[az],90
latpilot5,69,2024-09-23,69,6,ild,-50,$user[az],-19.487594225898
