# -*- coding: utf-8 -*-,,,,,,,,,,,,,
,,,,,,,,,,,,,
# A datafile created by Gustav!,,,,,,,,,,,,,
# ,,,,,,,,,,,,,
# Experiment: mild-master,,,,,,,,,,,,,
# ,,,,,,,,,,,,,
# Vocoded speech in spatially-separated speech or noise maskers.,,,,,,,,,,,,,
# ,,,,,,,,,,,,,
# $comments,,,,,,,,,,,,,
# ,,,,,,,,,,,,,
,,,,,,,,,,,,,
S,Trial,Date,Block,Condition,masker,Soundfile,Times,,,,,,
itd_pilot1,44,9/13/2024,44,2,side=l_itd=50_az=0_mag=0,stim/mild-master/s_itd_pilot1/side=l_itd=50_az=0_mag=0/14__side=l_itd=50_az=0_mag=0__l=dash-gash-dash-dash-dash-gash-bash-dash-gash-bash-gash-gash__r=gash-bash-dash-dash-dash-bash-dash-bash-dash-dash-dash-bash.wav,2297.44209,5886.864927,7670.866872,9592.79783,10822.83577,,
itd_pilot1,45,9/13/2024,45,1,side=r_itd=100_az=0_mag=0,stim/mild-master/s_itd_pilot1/side=r_itd=100_az=0_mag=0/14__side=r_itd=100_az=0_mag=0__l=gash-dash-bash-dash-bash-gash-dash-gash-gash-dash-dash-gash__r=dash-gash-dash-bash-gash-bash-dash-gash-gash-bash-gash-bash.wav,3698.069564,4542.113689,5207.859992,9173.925096,,,
itd_pilot1,46,9/13/2024,46,4,side=l_itd=200_az=0_mag=0,stim/mild-master/s_itd_pilot1/side=l_itd=200_az=0_mag=0/14__side=l_itd=200_az=0_mag=0__l=dash-gash-dash-gash-gash-gash-bash-gash-dash-dash-gash-bash__r=gash-bash-dash-bash-dash-bash-gash-gash-bash-dash-dash-dash.wav,2645.0895,4270.119018,5963.21043,8347.237539,,,
itd_pilot1,47,9/13/2024,47,6,side=r_itd=200_az=0_mag=0,stim/mild-master/s_itd_pilot1/side=r_itd=200_az=0_mag=0/14__side=r_itd=200_az=0_mag=0__l=dash-dash-bash-dash-gash-dash-dash-dash-gash-bash-dash-gash__r=dash-bash-gash-bash-gash-gash-dash-bash-dash-dash-bash-gash.wav,2744.206322,7667.425727,9051.3889,9915.481242,10747.47859,,
itd_pilot1,48,9/13/2024,48,7,side=r_itd=50_az=0_mag=0,stim/mild-master/s_itd_pilot1/side=r_itd=50_az=0_mag=0/14__side=r_itd=50_az=0_mag=0__l=gash-gash-gash-gash-gash-gash-bash-dash-bash-gash-gash-gash__r=dash-bash-gash-bash-gash-bash-dash-bash-gash-gash-dash-dash.wav,2583.849546,4391.853011,6095.850594,7847.742363,9807.779672,,
itd_pilot1,49,9/13/2024,49,8,side=l_itd=400_az=0_mag=0,stim/mild-master/s_itd_pilot1/side=l_itd=400_az=0_mag=0/15__side=l_itd=400_az=0_mag=0__l=dash-gash-dash-bash-gash-dash-gash-dash-gash-dash-bash-gash__r=gash-gash-bash-gash-bash-gash-dash-bash-gash-gash-gash-bash.wav,3348.562802,5120.656915,7620.482141,10022.17882,,,
itd_pilot1,50,9/13/2024,50,2,side=l_itd=50_az=0_mag=0,stim/mild-master/s_itd_pilot1/side=l_itd=50_az=0_mag=0/15__side=l_itd=50_az=0_mag=0__l=dash-gash-dash-bash-gash-dash-dash-gash-bash-gash-dash-gash__r=dash-bash-dash-gash-bash-dash-dash-gash-dash-bash-gash-bash.wav,2680.111629,4376.087463,5663.559292,8943.609978,10642.3878,,
itd_pilot1,51,9/13/2024,51,3,side=l_itd=100_az=0_mag=0,stim/mild-master/s_itd_pilot1/side=l_itd=100_az=0_mag=0/15__side=l_itd=100_az=0_mag=0__l=gash-dash-dash-gash-gash-gash-bash-dash-dash-dash-bash-gash__r=dash-bash-dash-gash-bash-dash-gash-bash-gash-gash-gash-bash.wav,2793.787194,5077.615725,7569.880636,9073.507063,,,
itd_pilot1,52,9/13/2024,52,6,side=r_itd=200_az=0_mag=0,stim/mild-master/s_itd_pilot1/side=r_itd=200_az=0_mag=0/15__side=r_itd=200_az=0_mag=0__l=dash-bash-gash-dash-bash-dash-dash-dash-gash-gash-gash-gash__r=gash-gash-bash-gash-gash-bash-dash-bash-gash-dash-gash-bash.wav,2829.518092,3797.579286,5920.845348,7765.553577,10797.89441,,
itd_pilot1,53,9/13/2024,53,7,side=r_itd=50_az=0_mag=0,stim/mild-master/s_itd_pilot1/side=r_itd=50_az=0_mag=0/15__side=r_itd=50_az=0_mag=0__l=gash-dash-gash-gash-gash-bash-dash-dash-dash-gash-dash-bash__r=gash-gash-bash-dash-bash-gash-dash-bash-gash-bash-dash-dash.wav,2838.260731,5786.591026,7415.122441,9066.503165,,,
itd_pilot1,54,9/13/2024,54,1,side=r_itd=100_az=0_mag=0,stim/mild-master/s_itd_pilot1/side=r_itd=100_az=0_mag=0/15__side=r_itd=100_az=0_mag=0__l=dash-bash-gash-gash-dash-dash-bash-dash-gash-dash-gash-gash__r=dash-dash-gash-bash-gash-bash-dash-dash-dash-bash-gash-bash.wav,2541.204801,4463.285673,5820.739619,6852.683072,9244.721295,10996.84318,
itd_pilot1,55,9/13/2024,55,4,side=l_itd=200_az=0_mag=0,stim/mild-master/s_itd_pilot1/side=l_itd=200_az=0_mag=0/15__side=l_itd=200_az=0_mag=0__l=gash-bash-dash-dash-bash-gash-bash-dash-dash-dash-gash-gash__r=gash-dash-bash-gash-gash-dash-gash-dash-bash-dash-bash-dash.wav,2737.668739,6893.241042,8650.144021,,,,
itd_pilot1,56,9/13/2024,56,5,side=r_itd=400_az=0_mag=0,stim/mild-master/s_itd_pilot1/side=r_itd=400_az=0_mag=0/15__side=r_itd=400_az=0_mag=0__l=dash-dash-gash-bash-dash-dash-bash-dash-dash-gash-gash-dash__r=gash-bash-dash-gash-dash-bash-dash-gash-bash-gash-bash-dash.wav,2209.568204,4281.109054,5819.383066,8177.079345,,,
itd_pilot1,57,9/13/2024,57,6,side=r_itd=200_az=0_mag=0,stim/mild-master/s_itd_pilot1/side=r_itd=200_az=0_mag=0/16__side=r_itd=200_az=0_mag=0__l=dash-bash-gash-dash-dash-gash-gash-gash-bash-dash-gash-dash__r=dash-gash-bash-dash-bash-gash-bash-dash-gash-gash-gash-bash.wav,2905.107106,3776.972162,6801.070975,10761.14129,,,
itd_pilot1,58,9/13/2024,58,3,side=l_itd=100_az=0_mag=0,stim/mild-master/s_itd_pilot1/side=l_itd=100_az=0_mag=0/16__side=l_itd=100_az=0_mag=0__l=gash-dash-bash-dash-dash-bash-gash-dash-dash-gash-dash-bash__r=dash-dash-dash-bash-dash-gash-dash-bash-gash-bash-gash-dash.wav,3380.923739,4437.028646,5853.070716,7908.870859,9416.593885,10718.44531,
itd_pilot1,59,9/13/2024,59,5,side=r_itd=400_az=0_mag=0,stim/mild-master/s_itd_pilot1/side=r_itd=400_az=0_mag=0/16__side=r_itd=400_az=0_mag=0__l=dash-gash-bash-dash-bash-gash-dash-gash-dash-gash-dash-dash__r=dash-gash-gash-bash-gash-dash-dash-bash-dash-bash-gash-bash.wav,3376.864272,4655.145032,7583.07416,9031.013245,10518.98669,,
itd_pilot1,60,9/13/2024,60,7,side=r_itd=50_az=0_mag=0,stim/mild-master/s_itd_pilot1/side=r_itd=50_az=0_mag=0/16__side=r_itd=50_az=0_mag=0__l=dash-gash-gash-dash-dash-bash-gash-gash-gash-gash-bash-dash__r=dash-bash-gash-gash-bash-dash-dash-gash-gash-bash-dash-bash.wav,2899.809649,4069.038119,5896.737539,9096.365531,10800.33046,,
itd_pilot1,61,9/13/2024,61,4,side=l_itd=200_az=0_mag=0,stim/mild-master/s_itd_pilot1/side=l_itd=200_az=0_mag=0/16__side=l_itd=200_az=0_mag=0__l=dash-gash-dash-gash-dash-bash-gash-dash-dash-gash-bash-dash__r=dash-bash-dash-bash-gash-gash-gash-dash-bash-dash-gash-bash.wav,2753.352108,4188.245705,5484.154037,8380.170136,10108.07338,,
