# -*- coding: utf-8 -*-

# A datafile created by Gustav!
# 
# Experiment: mild-2
# 
# Vocoded speech in spatially-separated speech or noise maskers.
# 
# $comments
# 

S,Trial,Date,Block,Condition,masker,Soundfile,Times
505,46,2024-02-14,46,15,side=r_masker=speech_itd=0_ild=0_az=10_mag=0_control=0,stim/bobmike/mild-2/s_505/side=r_masker=speech_itd=0_ild=0_az=10_mag=0_control=0/2_side=r_masker=speech_itd=0_ild=0_az=10_mag=0_control=0.wav,
505,47,2024-02-14,47,7,side=l_masker=speech_itd=0_ild=0_az=10_mag=0_control=0,stim/bobmike/mild-2/s_505/side=l_masker=speech_itd=0_ild=0_az=10_mag=0_control=0/2_side=l_masker=speech_itd=0_ild=0_az=10_mag=0_control=0.wav,
505,48,2024-02-14,48,5,side=l_masker=speech_itd=0_ild=0_az=30_mag=0_control=0,stim/bobmike/mild-2/s_505/side=l_masker=speech_itd=0_ild=0_az=30_mag=0_control=0/2_side=l_masker=speech_itd=0_ild=0_az=30_mag=0_control=0.wav,
505,49,2024-02-14,49,9,side=l_masker=speech_itd=0_ild=0_az=10_mag=1_control=0,stim/bobmike/mild-2/s_505/side=l_masker=speech_itd=0_ild=0_az=10_mag=1_control=0/2_side=l_masker=speech_itd=0_ild=0_az=10_mag=1_control=0.wav,
505,50,2024-02-14,50,11,side=r_masker=speech_itd=0_ild=0_az=20_mag=1_control=0,stim/bobmike/mild-2/s_505/side=r_masker=speech_itd=0_ild=0_az=20_mag=1_control=0/2_side=r_masker=speech_itd=0_ild=0_az=20_mag=1_control=0.wav,
505,51,2024-02-14,51,8,side=l_masker=speech_itd=0_ild=0_az=20_mag=0_control=0,stim/bobmike/mild-2/s_505/side=l_masker=speech_itd=0_ild=0_az=20_mag=0_control=0/2_side=l_masker=speech_itd=0_ild=0_az=20_mag=0_control=0.wav,
505,52,2024-02-14,52,16,side=l_masker=speech_itd=50_ild=0_az=0_mag=0_control=0,stim/bobmike/mild-2/s_505/side=l_masker=speech_itd=50_ild=0_az=0_mag=0_control=0/2_side=l_masker=speech_itd=50_ild=0_az=0_mag=0_control=0.wav,
505,53,2024-02-14,53,6,side=r_masker=speech_itd=0_ild=0_az=30_mag=1_control=0,stim/bobmike/mild-2/s_505/side=r_masker=speech_itd=0_ild=0_az=30_mag=1_control=0/2_side=r_masker=speech_itd=0_ild=0_az=30_mag=1_control=0.wav,
505,54,2024-02-14,54,2,side=r_masker=speech_itd=0_ild=inf_az=0_mag=0_control=0,stim/bobmike/mild-2/s_505/side=r_masker=speech_itd=0_ild=inf_az=0_mag=0_control=0/2_side=r_masker=speech_itd=0_ild=inf_az=0_mag=0_control=0.wav,
505,55,2024-02-14,55,9,side=l_masker=speech_itd=0_ild=0_az=10_mag=1_control=0,stim/bobmike/mild-2/s_505/side=l_masker=speech_itd=0_ild=0_az=10_mag=1_control=0/3_side=l_masker=speech_itd=0_ild=0_az=10_mag=1_control=0.wav,
505,56,2024-02-14,56,15,side=r_masker=speech_itd=0_ild=0_az=10_mag=0_control=0,stim/bobmike/mild-2/s_505/side=r_masker=speech_itd=0_ild=0_az=10_mag=0_control=0/3_side=r_masker=speech_itd=0_ild=0_az=10_mag=0_control=0.wav,
505,57,2024-02-14,57,3,side=r_masker=speech_itd=500_ild=0_az=0_mag=0_control=0,stim/bobmike/mild-2/s_505/side=r_masker=speech_itd=500_ild=0_az=0_mag=0_control=0/3_side=r_masker=speech_itd=500_ild=0_az=0_mag=0_control=0.wav,
505,58,2024-02-14,58,17,side=r_masker=speech_itd=0_ild=0_az=20_mag=0_control=0,stim/bobmike/mild-2/s_505/side=r_masker=speech_itd=0_ild=0_az=20_mag=0_control=0/3_side=r_masker=speech_itd=0_ild=0_az=20_mag=0_control=0.wav,
505,59,2024-02-14,59,13,side=r_masker=speech_itd=0_ild=0_az=10_mag=1_control=0,stim/bobmike/mild-2/s_505/side=r_masker=speech_itd=0_ild=0_az=10_mag=1_control=0/3_side=r_masker=speech_itd=0_ild=0_az=10_mag=1_control=0.wav,
505,60,2024-02-14,60,14,side=l_masker=speech_itd=0_ild=inf_az=0_mag=0_control=0,stim/bobmike/mild-2/s_505/side=l_masker=speech_itd=0_ild=inf_az=0_mag=0_control=0/3_side=l_masker=speech_itd=0_ild=inf_az=0_mag=0_control=0.wav,
505,61,2024-02-14,61,4,side=l_masker=speech_itd=0_ild=0_az=30_mag=1_control=0,stim/bobmike/mild-2/s_505/side=l_masker=speech_itd=0_ild=0_az=30_mag=1_control=0/3_side=l_masker=speech_itd=0_ild=0_az=30_mag=1_control=0.wav,
