S,Condition,Lead_Stream,Lead_Word,Lag_Word,Lead_Amplitude,Lag_Amplitude,Electrode
mild_master_1 ,small_itd,Target,non-bash,bash,2.20115420905983,0.227802615656572,CP5
mild_master_1 ,small_itd,Target,non-bash,non-bash,1.63967833912119,0.453960317077366,CP5
mild_master_1 ,small_itd,Masker,bash,non-bash,2.20470390540582,-0.116147551823545,CP5
mild_master_1 ,small_itd,Masker,non-bash,bash,0.225290553598869,0.184452099916412,CP5
mild_master_1 ,small_itd,Masker,non-bash,non-bash,2.40949438914552,0.313304828847205,CP5
mild_master_1 ,large_itd,Target,bash,non-bash,0.891555360598224,3.60876843758992,CP5
mild_master_1 ,large_itd,Target,non-bash,bash,0.306095228261418,1.27094093494945,CP5
mild_master_1 ,large_itd,Target,non-bash,non-bash,0.921230448143823,0.680418343319521,CP5
mild_master_1 ,large_itd,Masker,bash,non-bash,-0.422103801866372,0.0764936329921087,CP5
mild_master_1 ,large_itd,Masker,non-bash,bash,3.0733551198786,0.534132785146887,CP5
mild_master_1 ,large_itd,Masker,non-bash,non-bash,0.97796533742397,0.76983874804682,CP5
mild_master_1 ,small_ild,Target,bash,non-bash,-0.536620942950249,1.81182648941875,CP5
mild_master_1 ,small_ild,Target,non-bash,bash,1.29357986010256,0.149696443478266,CP5
mild_master_1 ,small_ild,Target,non-bash,non-bash,1.22856420649598,0.884511165942577,CP5
mild_master_1 ,small_ild,Masker,bash,non-bash,0.81110674129291,1.43330542079427,CP5
mild_master_1 ,small_ild,Masker,non-bash,bash,2.23981562174029,2.6728862375021,CP5
mild_master_1 ,small_ild,Masker,non-bash,non-bash,1.77754059891055,0.627839318746911,CP5
mild_master_1 ,large_ild,Target,bash,non-bash,0.808612598510499,0.71470990992607,CP5
mild_master_1 ,large_ild,Target,non-bash,bash,2.2565326045721,1.05384790438872,CP5
mild_master_1 ,large_ild,Target,non-bash,non-bash,0.902320601348955,1.35239311039932,CP5
mild_master_1 ,large_ild,Masker,bash,non-bash,0.486523455030778,-1.64618573311497,CP5
mild_master_1 ,large_ild,Masker,non-bash,bash,2.12983371706113,-1.94415702936442,CP5
mild_master_1 ,large_ild,Masker,non-bash,non-bash,1.61662545359653,1.47497607210408,CP5
mild_master_1 ,small_itd,Target,bash,non-bash,0.0809294189429945,1.77903977239297,P7
mild_master_1 ,small_itd,Target,non-bash,bash,1.82763930962366,0.741584972336012,P7
mild_master_1 ,small_itd,Target,non-bash,non-bash,1.2329906256275,0.263398366754359,P7
mild_master_1 ,small_itd,Masker,bash,non-bash,1.02038202669334,-1.31448893809208,P7
mild_master_1 ,small_itd,Masker,non-bash,bash,-0.936289911626316,-0.334908743602474,P7
mild_master_1 ,small_itd,Masker,non-bash,non-bash,0.87223209117676,-0.261493057012558,P7
mild_master_1 ,large_itd,Target,bash,non-bash,0.260677741042205,2.49939395955631,P7
mild_master_1 ,large_itd,Target,non-bash,bash,0.227381555487712,0.0823803358607822,P7
mild_master_1 ,large_itd,Target,non-bash,non-bash,0.365194497750951,0.246047634254028,P7
mild_master_1 ,large_itd,Masker,bash,non-bash,-0.760819776877761,-0.279964980483055,P7
mild_master_1 ,large_itd,Masker,non-bash,bash,2.83100909960992,0.690039817672787,P7
mild_master_1 ,large_itd,Masker,non-bash,non-bash,0.108485553504752,0.414850972013937,P7
mild_master_1 ,small_ild,Target,bash,non-bash,-0.594434872642159,0.374135233610868,P7
mild_master_1 ,small_ild,Target,non-bash,bash,-0.72155744500813,0.677844893790427,P7
mild_master_1 ,small_ild,Target,non-bash,non-bash,-0.249758841038145,0.831850801181319,P7
mild_master_1 ,small_ild,Masker,bash,non-bash,-0.85140160816637,0.30792318734933,P7
mild_master_1 ,small_ild,Masker,non-bash,bash,0.705943765532639,2.03482240210805,P7
mild_master_1 ,small_ild,Masker,non-bash,non-bash,0.45283840374839,0.280838267561188,P7
mild_master_1 ,large_ild,Target,bash,non-bash,-0.185411806150954,-0.668842176141891,P7
mild_master_1 ,large_ild,Target,non-bash,bash,1.27712307411891,-0.106054565921808,P7
mild_master_1 ,large_ild,Target,non-bash,non-bash,-0.313397397161499,0.760766001457606,P7
mild_master_1 ,large_ild,Masker,bash,non-bash,0.731402276412529,-2.14929203645271,P7
mild_master_1 ,large_ild,Masker,non-bash,bash,1.47499449363221,-1.55808942823306,P7
mild_master_1 ,large_ild,Masker,non-bash,non-bash,1.01909741323372,0.689746648063941,P7
mild_master_1 ,small_itd,Target,bash,non-bash,-1.08597088174687,3.74979804174768,P3
mild_master_1 ,small_itd,Target,non-bash,bash,3.43232809375314,-0.287990574801669,P3
mild_master_1 ,small_itd,Target,non-bash,non-bash,1.79215893910286,0.373028824050376,P3
mild_master_1 ,small_itd,Masker,bash,non-bash,1.73473329544067,-1.19228651611893,P3
mild_master_1 ,small_itd,Masker,non-bash,bash,0.109616782316347,0.139367451464258,P3
mild_master_1 ,small_itd,Masker,non-bash,non-bash,1.67447404269572,-0.220567918261448,P3
mild_master_1 ,large_itd,Target,bash,non-bash,0.102633436449936,4.54599100819656,P3
mild_master_1 ,large_itd,Target,non-bash,bash,0.32273653505577,1.43413340027134,P3
mild_master_1 ,large_itd,Target,non-bash,non-bash,0.390426447097357,0.763734588510804,P3
mild_master_1 ,large_itd,Masker,bash,non-bash,-2.1217718226711,-0.297753544549147,P3
mild_master_1 ,large_itd,Masker,non-bash,bash,3.18434521826831,0.132049649773222,P3
mild_master_1 ,large_itd,Masker,non-bash,non-bash,0.892299412051551,0.993962904146249,P3
mild_master_1 ,small_ild,Target,bash,non-bash,-1.68600995793939,1.37111409083009,P3
mild_master_1 ,small_ild,Target,non-bash,bash,1.29394495089849,-0.657782959086554,P3
mild_master_1 ,small_ild,Target,non-bash,non-bash,0.995281692490672,0.484071071593967,P3
mild_master_1 ,small_ild,Masker,bash,non-bash,0.0719682268798351,1.57738723592325,P3
mild_master_1 ,small_ild,Masker,non-bash,bash,0.649731173863014,4.17123035316666,P3
mild_master_1 ,small_ild,Masker,non-bash,non-bash,1.83523056238217,0.541310659700767,P3
mild_master_1 ,large_ild,Target,bash,non-bash,0.156507234243636,0.0552841819347219,P3
mild_master_1 ,large_ild,Target,non-bash,bash,3.27047336193231,0.337819718321164,P3
mild_master_1 ,large_ild,Target,non-bash,non-bash,0.353123611114859,1.1099715669223,P3
mild_master_1 ,large_ild,Masker,bash,non-bash,-0.179301807109047,-1.00829548625385,P3
mild_master_1 ,large_ild,Masker,non-bash,bash,3.58049262425174,-2.94843427474084,P3
mild_master_1 ,large_ild,Masker,non-bash,non-bash,1.57607175504199,1.35102357590421,P3
mild_master_1 ,small_itd,Target,bash,non-bash,-2.4599218002624,4.42429538749986,Pz
mild_master_1 ,small_itd,Target,non-bash,bash,3.73377751883338,-0.12783636100152,Pz
mild_master_1 ,small_itd,Target,non-bash,non-bash,1.21327608967504,0.324118560742825,Pz
mild_master_1 ,small_itd,Masker,bash,non-bash,2.51369811500664,-1.41803122565702,Pz
mild_master_1 ,small_itd,Masker,non-bash,bash,0.0896097587376106,1.07021074716638,Pz
mild_master_1 ,small_itd,Masker,non-bash,non-bash,1.43290049767161,0.0369670651592575,Pz
mild_master_1 ,large_itd,Target,bash,non-bash,0.359477998529162,4.57070018840688,Pz
mild_master_1 ,large_itd,Target,non-bash,bash,1.08128088795476,1.92207353338599,Pz
mild_master_1 ,large_itd,Target,non-bash,non-bash,-0.240193309741361,0.787886149891011,Pz
mild_master_1 ,large_itd,Masker,bash,non-bash,-2.94675766428312,0.294626580228408,Pz
