# -*- coding: utf-8 -*-

# A datafile created by Gustav!
# 
# Experiment: mild-bici
# 
# Vocoded speech in spatially-separated speech or noise maskers.
# 
# $comments
# 

S,Trial,Date,Block,Condition,masker,Soundfile,Times
mild_bici_1,45,2025-03-29,45,8,side=r_itd=0_az=60_az_itd=0_mag=0_lpf=0,stim/mild-bici/s_mild_bici_1/side=r_itd=0_az=60_az_itd=0_mag=0_lpf=0/14__side=r_itd=0_az=60_az_itd=0_mag=0_lpf=0__l=gash-bash-gash-dash-gash-dash-dash-gash-gash-dash-dash-bash-gash-gash-gash-bash__r=gash-dash-dash-gash-bash-dash-gash-bash-dash-dash-gash-dash-gash-dash-gash-dash.wav,
mild_bici_1,46,2025-03-29,46,7,side=l_itd=0_az=90_az_itd=0_mag=1_lpf=0,stim/mild-bici/s_mild_bici_1/side=l_itd=0_az=90_az_itd=0_mag=1_lpf=0/14__side=l_itd=0_az=90_az_itd=0_mag=1_lpf=0__l=dash-dash-dash-bash-dash-dash-gash-dash-dash-gash-gash-gash-dash-gash-dash-dash__r=dash-bash-gash-gash-dash-bash-dash-gash-gash-bash-dash-bash-dash-dash-dash-gash.wav,
mild_bici_1,47,2025-03-29,47,3,side=r_itd=0_az=90_az_itd=0_mag=1_lpf=0,stim/mild-bici/s_mild_bici_1/side=r_itd=0_az=90_az_itd=0_mag=1_lpf=0/14__side=r_itd=0_az=90_az_itd=0_mag=1_lpf=0__l=dash-dash-dash-gash-dash-dash-dash-bash-gash-gash-dash-gash-bash-gash-dash-gash__r=gash-bash-gash-dash-bash-dash-dash-gash-gash-gash-dash-dash-dash-gash-gash-bash.wav,2413.5820932388306,7437.62912607193
mild_bici_1,48,2025-03-29,48,5,side=l_itd=0_az=60_az_itd=0_mag=0_lpf=0,stim/mild-bici/s_mild_bici_1/side=l_itd=0_az=60_az_itd=0_mag=0_lpf=0/14__side=l_itd=0_az=60_az_itd=0_mag=0_lpf=0__l=gash-dash-dash-dash-dash-gash-dash-gash-gash-gash-bash-dash-bash-gash-dash-gash__r=gash-bash-gash-dash-gash-dash-bash-gash-bash-dash-gash-gash-gash-gash-bash-gash.wav,8562.83528804779
mild_bici_1,49,2025-03-29,49,1,side=r_itd=0_az=60_az_itd=0_mag=1_lpf=0,stim/mild-bici/s_mild_bici_1/side=r_itd=0_az=60_az_itd=0_mag=1_lpf=0/1__side=r_itd=0_az=60_az_itd=0_mag=1_lpf=0__l=dash-bash-dash-gash-gash-gash-gash-gash-dash-bash-dash-gash-gash-dash-gash-gash__r=gash-gash-gash-gash-gash-gash-dash-dash-gash-dash-gash-bash-gash-bash-dash-bash.wav,2862.22856426239
mild_bici_1,50,2025-03-29,50,5,side=l_itd=0_az=60_az_itd=0_mag=0_lpf=0,stim/mild-bici/s_mild_bici_1/side=l_itd=0_az=60_az_itd=0_mag=0_lpf=0/1__side=l_itd=0_az=60_az_itd=0_mag=0_lpf=0__l=gash-gash-dash-bash-gash-dash-gash-dash-dash-gash-bash-dash-dash-dash-gash-gash__r=dash-bash-dash-dash-gash-bash-gash-bash-gash-gash-gash-dash-gash-dash-bash-gash.wav,
mild_bici_1,51,2025-03-29,51,3,side=r_itd=0_az=90_az_itd=0_mag=1_lpf=0,stim/mild-bici/s_mild_bici_1/side=r_itd=0_az=90_az_itd=0_mag=1_lpf=0/1__side=r_itd=0_az=90_az_itd=0_mag=1_lpf=0__l=gash-dash-bash-gash-gash-gash-dash-dash-gash-dash-dash-dash-bash-dash-gash-gash__r=gash-gash-dash-gash-gash-bash-gash-dash-bash-dash-bash-gash-gash-dash-dash-bash.wav,10163.033100128174
mild_bici_1,52,2025-03-29,52,2,side=r_itd=0_az=90_az_itd=0_mag=0_lpf=0,stim/mild-bici/s_mild_bici_1/side=r_itd=0_az=90_az_itd=0_mag=0_lpf=0/1__side=r_itd=0_az=90_az_itd=0_mag=0_lpf=0__l=dash-gash-dash-gash-bash-gash-dash-bash-dash-bash-dash-dash-dash-dash-gash-dash__r=gash-dash-bash-dash-dash-gash-dash-gash-dash-gash-gash-gash-gash-dash-dash-bash.wav,
mild_bici_1,53,2025-03-29,53,4,side=l_itd=0_az=60_az_itd=0_mag=1_lpf=0,stim/mild-bici/s_mild_bici_1/side=l_itd=0_az=60_az_itd=0_mag=1_lpf=0/1__side=l_itd=0_az=60_az_itd=0_mag=1_lpf=0__l=dash-gash-gash-dash-gash-dash-bash-gash-bash-gash-dash-bash-gash-gash-dash-bash__r=gash-dash-bash-gash-dash-dash-dash-dash-gash-dash-gash-dash-gash-bash-dash-dash.wav,6169.1562032699585,7881.132360458374
mild_bici_1,54,2025-03-29,54,6,side=l_itd=0_az=90_az_itd=0_mag=0_lpf=0,stim/mild-bici/s_mild_bici_1/side=l_itd=0_az=90_az_itd=0_mag=0_lpf=0/1__side=l_itd=0_az=90_az_itd=0_mag=0_lpf=0__l=gash-gash-gash-bash-dash-dash-dash-bash-gash-dash-dash-dash-bash-gash-gash-gash__r=gash-dash-dash-dash-gash-dash-dash-gash-gash-dash-bash-dash-dash-gash-bash-gash.wav,
